AttPercent	SuspensionCount 	IsMoble	IsMale	IsWhite	IsBlack	IsAsian	IsOtherRace	IsELL	IsUrbanRsd	HighNeeds	IsFreeLunch	IsReducedLunch	IsSpecialEd	IsFirstLangEng	IsMcasElaP	IsMcasElaNI	IsMcasElaW	IsMcasElaP	IsMcasElaNI	IsMcasElaW	LogCount	M1CourseCount(<B)	Q1CourseCount(<B)	Q2CourseCount(<B)	Q3CourseCount(<B)	Q4CourseCount(<B)	Y1Fail
0.892523364	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	3	1	1
0.827102804	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	3	0	1	0	0	0	0
0.981308411	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.897196262	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0
0.91588785	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.962616822	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	2	0	3	4	2	0	1
0.710280374	4	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	49	0	2	2	1	0	0
1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0
0.822429907	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	6	0	0	3	2	2	0
0.841121495	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.771028037	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
0.878504673	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	3	1	0	2	1
0.76635514	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	3	2	1	1
0.953271028	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
0.803738318	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	2	3	2	4	1
0.682242991	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	3	0	3	2	0	2	1
0.869158879	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0
0.953271028	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.971962617	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.971962617	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
0.934579439	2	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	15	0	0	1	3	1	1
0.943925234	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0
0.934579439	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	2	2	1
0.971962617	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.841121495	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.663551402	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	2	0	0	2	1	2	1
0.981308411	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.981308411	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
0.943925234	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.887850467	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	2	3	0	1
0.934579439	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.878504673	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	8	0	1	2	0	0	0
0.626168224	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	6	0	1	0	0	0	0
0.943925234	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	2	1	5	2	1
0.906542056	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.934579439	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.822429907	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	0	0
0.906542056	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.663551402	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	9	0	2	1	0	0	0
0.859813084	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.747663551	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.794392523	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	2	1	4	0	1
0.799065421	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0
0.859813084	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	1	0	1	0	1
0.981308411	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0
0.887850467	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.943925234	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.738317757	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	2	2	3	1	1
0.859813084	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0
0.943925234	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.925233645	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.953271028	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	4	0	1	1	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.799065421	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0
0.91588785	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0
0.906542056	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	17	0	0	0	0	0	0
0.981308411	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0.91588785	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	1	1	1	2	1
0.841121495	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0
0.817757009	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.953271028	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.934579439	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.822429907	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	2	0	0	1	1	0	0
0.906542056	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.990654206	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	2	1	3	0	0
0.859813084	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.869158879	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0
0.953271028	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.841121495	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0
0.906542056	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.925233645	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	6	0	2	1	4	2	1
0.925233645	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.859813084	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	19	0	5	5	4	1	1
0.859813084	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	0	0	0
0.803738318	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	9	0	1	4	1	4	1
0.869158879	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.990654206	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.91588785	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.91588785	6	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	33	0	4	3	2	1	1
0.925233645	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1
0.897196262	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0
0.887850467	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
0.962616822	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0
0.85046729	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1
0.971962617	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	2	3	1	0	1
0.934579439	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	5	0	0	0	1	2	1
0.672897196	2	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	39	0	2	1	0	0	1
0.957943925	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0
0.934579439	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.794392523	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
0.794392523	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0
0.906542056	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0
0.943925234	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	3	3	3	2	1
0.925233645	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	3	0	3	2	3	3	1
0.85046729	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0
0.887850467	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0
0.934579439	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0
0.775700935	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	4	0	1	1	1	0	0
0.841121495	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	3	0	0	0	0	0	0
0.953271028	2	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	23	0	4	5	5	3	1
0.841121495	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0
0.971962617	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	2	0	0	1
0.887850467	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.654205607	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	3	5	4	1	1
0.757009346	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0
0.934579439	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.887850467	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
0.925233645	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
0.91588785	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	2	1	1
0.934579439	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0
0.887850467	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0
0.76635514	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	3	0	0	0	1	1	1
0.934579439	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0
0.934579439	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0
0.85046729	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	2	0	0	0	2	0	0
0.925233645	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.925233645	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	2	1	1	1
0.813084112	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.962616822	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.813084112	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	21	0	3	2	3	4	1
0.869158879	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	2	0	1	2	0	1	0
0.785046729	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	12	0	2	0	1	0	1
0.700934579	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	3	0	4	3	4	0	1
0.869158879	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.579439252	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	15	0	4	3	3	0	1
0.953271028	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.897196262	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.859813084	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	1	0	0	0
0.971962617	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.971962617	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	14	0	0	3	5	4	1
0.822429907	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
0.523364486	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	3	0	2	4	0	0	1
0.738317757	3	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	34	0	6	4	6	7	1
0.813084112	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	3	0	1	0	1	1	1
0.869158879	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0
0.953271028	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.813084112	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	6	0	2	3	2	1	1
0.943925234	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	10	0	1	0	3	3	1
0.971962617	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	2	2	0
0.981308411	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.91588785	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	4	5	4	2	1
0.785046729	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0
0.934579439	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	2	0	1	2	3	1	1
0.953271028	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
0.925233645	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	0	2	1	2	0	0
0.700934579	3	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	41	0	5	5	5	4	1
0.887850467	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	22	0	4	3	3	4	1
0.897196262	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.906542056	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
0.962616822	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.971962617	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.990654206	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.700934579	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0
0.803738318	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	21	0	1	3	3	1	1
0.869158879	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	2	0	1
0.869158879	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0
0.906542056	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0
0.859813084	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.887850467	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.962616822	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	3	1	0
0.757009346	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0
0.859813084	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.747663551	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.962616822	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.822429907	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	1	1	2	3	0
0.85046729	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.654205607	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	2	2	3	3	1
0.91588785	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.682242991	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.672897196	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.943925234	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.925233645	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	4	0	2	2	1	4	1
0.971962617	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.943925234	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	3	1	2	1
0.757009346	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0	2	3	3	4	1
0.953271028	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	1	1
0.76635514	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0
0.813084112	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	3	0	3	2	2	1	1
0.859813084	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	17	0	3	0	0	0	0
0.700934579	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	8	0	3	6	6	5	1
0.971962617	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	3	0	1	1
0.897196262	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	4	0	3	7	5	6	1
0.813084112	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.887850467	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.962616822	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.897196262	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2	4	2	0	1
0.906542056	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	13	0	2	5	1	1	1
0.775700935	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	4	2	3	0	1
0.897196262	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0
0.962616822	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.91588785	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	5	0	0	1	3	2	1
0.906542056	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	0
0.897196262	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	3	1	1
0.971962617	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
